loss;epoch;iteration;global_iteration
1.0387110710144043;0;100;100
0.28300267457962036;0;200;200
0.10168853402137756;0;300;300
0.15384262800216675;0;400;400
0.4197809398174286;0;500;500
0.12134425342082977;0;600;600
0.004286360926926136;0;700;700
0.0751466378569603;0;800;800
0.23999908566474915;0;900;900
0.13772833347320557;0;1000;1000
0.1116996556520462;0;1100;1100
0.060161806643009186;0;1200;1200
0.15175506472587585;0;1300;1300
0.3929654359817505;0;1400;1400
0.06849568337202072;0;1500;1500
0.047258708626031876;0;1600;1600
0.0060007465071976185;0;1700;1700
0.05089891701936722;0;1800;1800
0.004504782147705555;0;1900;1900
0.22624635696411133;0;2000;2000
0.04960745573043823;0;2100;2100
0.20370404422283173;0;2200;2200
0.05123826861381531;0;2300;2300
0.47212934494018555;0;2400;2400
0.157897487282753;0;2500;2500
0.004880715627223253;0;2600;2600
0.01920708827674389;0;2700;2700
0.07759635150432587;0;2800;2800
0.016225771978497505;0;2900;2900
0.019955309107899666;0;3000;3000
0.030718527734279633;0;3100;3100
0.009353339672088623;0;3200;3200
0.12261880934238434;0;3300;3300
0.001600368064828217;0;3400;3400
0.02123233489692211;0;3500;3500
0.14332088828086853;0;3600;3600
0.1682417243719101;0;3700;3700
0.01593152806162834;0;3800;3800
0.01442992314696312;0;3900;3900
0.0810452252626419;0;4000;4000
0.1047048345208168;0;4100;4100
0.059060487896203995;0;4200;4200
0.10121940076351166;0;4300;4300
0.12912388145923615;0;4400;4400
0.1528555154800415;0;4500;4500
