lr;epoch;iteration;global_iteration
1.7841213202497771e-06;0;100;100
3.5682426404995543e-06;0;200;200
5.352363960749331e-06;0;300;300
7.1364852809991086e-06;0;400;400
8.920606601248884e-06;0;500;500
1.0704727921498663e-05;0;600;600
1.2488849241748438e-05;0;700;700
1.4272970561998217e-05;0;800;800
1.6057091882247994e-05;0;900;900
1.7841213202497768e-05;0;1000;1000
1.962533452274755e-05;0;1100;1100
2.1409455842997326e-05;0;1200;1200
2.3193577163247103e-05;0;1300;1300
2.4977698483496877e-05;0;1400;1400
2.6761819803746657e-05;0;1500;1500
2.8545941123996434e-05;0;1600;1600
3.033006244424621e-05;0;1700;1700
3.211418376449599e-05;0;1800;1800
3.389830508474576e-05;0;1900;1900
3.5682426404995536e-05;0;2000;2000
3.746654772524532e-05;0;2100;2100
3.92506690454951e-05;0;2200;2200
4.103479036574487e-05;0;2300;2300
4.281891168599465e-05;0;2400;2400
4.4603033006244425e-05;0;2500;2500
4.6387154326494206e-05;0;2600;2600
4.817127564674398e-05;0;2700;2700
4.995539696699375e-05;0;2800;2800
4.980672019030628e-05;0;2900;2900
4.96084844880563e-05;0;3000;3000
4.9410248785806324e-05;0;3100;3100
4.921201308355635e-05;0;3200;3200
4.9013777381306374e-05;0;3300;3300
4.88155416790564e-05;0;3400;3400
4.8617305976806425e-05;0;3500;3500
4.841907027455645e-05;0;3600;3600
4.8220834572306475e-05;0;3700;3700
4.80225988700565e-05;0;3800;3800
4.7824363167806525e-05;0;3900;3900
4.762612746555655e-05;0;4000;4000
4.7427891763306575e-05;0;4100;4100
4.72296560610566e-05;0;4200;4200
4.703142035880662e-05;0;4300;4300
4.683318465655665e-05;0;4400;4400
4.6634948954306676e-05;0;4500;4500
4.6436713252056694e-05;0;4600;4600
4.6238477549806726e-05;0;4700;4700
4.6040241847556745e-05;0;4800;4800
4.584200614530677e-05;0;4900;4900
4.56437704430568e-05;0;5000;5000
4.544553474080682e-05;0;5100;5100
4.5247299038556845e-05;0;5200;5200
4.504906333630688e-05;0;5300;5300
4.4850827634056895e-05;0;5400;5400
4.465259193180692e-05;0;5500;5500
4.4454356229556946e-05;0;5600;5600
4.425612052730697e-05;1;95;5700
4.4057884825056996e-05;1;195;5800
4.3859649122807014e-05;1;295;5900
4.3661413420557046e-05;1;395;6000
4.346317771830707e-05;1;495;6100
4.326494201605709e-05;1;595;6200
4.306670631380712e-05;1;695;6300
4.286847061155714e-05;1;795;6400
4.2670234909307165e-05;1;895;6500
4.24719992070572e-05;1;995;6600
4.2273763504807215e-05;1;1095;6700
4.207552780255724e-05;1;1195;6800
4.187729210030727e-05;1;1295;6900
4.167905639805729e-05;1;1395;7000
4.1480820695807316e-05;1;1495;7100
4.128258499355734e-05;1;1595;7200
4.1084349291307366e-05;1;1695;7300
4.088611358905739e-05;1;1795;7400
4.0687877886807417e-05;1;1895;7500
4.048964218455744e-05;1;1995;7600
4.029140648230747e-05;1;2095;7700
4.009317078005749e-05;1;2195;7800
3.989493507780752e-05;1;2295;7900
3.969669937555754e-05;1;2395;8000
3.949846367330756e-05;1;2495;8100
3.930022797105759e-05;1;2595;8200
3.910199226880761e-05;1;2695;8300
3.8903756566557636e-05;1;2795;8400
3.870552086430767e-05;1;2895;8500
3.8507285162057686e-05;1;2995;8600
3.830904945980771e-05;1;3095;8700
3.8110813757557737e-05;1;3195;8800
3.791257805530776e-05;1;3295;8900
3.771434235305779e-05;1;3395;9000
3.751610665080781e-05;1;3495;9100
3.731787094855784e-05;1;3595;9200
3.711963524630786e-05;1;3695;9300
3.692139954405789e-05;1;3795;9400
3.672316384180791e-05;1;3895;9500
3.652492813955794e-05;1;3995;9600
3.632669243730796e-05;1;4095;9700
3.612845673505799e-05;1;4195;9800
3.5930221032808006e-05;1;4295;9900
3.573198533055804e-05;1;4395;10000
3.553374962830806e-05;1;4495;10100
3.533551392605808e-05;1;4595;10200
3.5137278223808114e-05;1;4695;10300
3.493904252155813e-05;1;4795;10400
3.474080681930816e-05;1;4895;10500
3.454257111705818e-05;1;4995;10600
3.434433541480821e-05;1;5095;10700
3.414609971255823e-05;1;5195;10800
3.394786401030826e-05;1;5295;10900
3.374962830805828e-05;1;5395;11000
3.355139260580831e-05;1;5495;11100
3.335315690355833e-05;1;5595;11200
3.315492120130836e-05;2;90;11300
3.295668549905838e-05;2;190;11400
3.27584497968084e-05;2;290;11500
3.2560214094558434e-05;2;390;11600
3.236197839230846e-05;2;490;11700
3.216374269005848e-05;2;590;11800
3.196550698780851e-05;2;690;11900
3.1767271285558534e-05;2;790;12000
3.156903558330855e-05;2;890;12100
3.1370799881058584e-05;2;990;12200
3.11725641788086e-05;2;1090;12300
3.097432847655863e-05;2;1190;12400
3.077609277430866e-05;2;1290;12500
3.057785707205868e-05;2;1390;12600
3.0379621369808703e-05;2;1490;12700
3.0181385667558732e-05;2;1590;12800
2.9983149965308754e-05;2;1690;12900
2.978491426305878e-05;2;1790;13000
2.95866785608088e-05;2;1890;13100
2.938844285855883e-05;2;1990;13200
2.919020715630885e-05;2;2090;13300
2.8991971454058876e-05;2;2190;13400
2.8793735751808905e-05;2;2290;13500
2.8595500049558926e-05;2;2390;13600
2.8397264347308948e-05;2;2490;13700
2.8199028645058977e-05;2;2590;13800
2.8000792942809e-05;2;2690;13900
2.7802557240559023e-05;2;2790;14000
2.7604321538309052e-05;2;2890;14100
2.7406085836059077e-05;2;2990;14200
2.72078501338091e-05;2;3090;14300
2.7009614431559127e-05;2;3190;14400
2.681137872930915e-05;2;3290;14500
2.6613143027059174e-05;2;3390;14600
2.6414907324809203e-05;2;3490;14700
2.6216671622559225e-05;2;3590;14800
2.6018435920309246e-05;2;3690;14900
2.5820200218059275e-05;2;3790;15000
2.56219645158093e-05;2;3890;15100
2.5423728813559322e-05;2;3990;15200
2.522549311130935e-05;2;4090;15300
2.5027257409059372e-05;2;4190;15400
2.4829021706809397e-05;2;4290;15500
2.4630786004559422e-05;2;4390;15600
2.4432550302309447e-05;2;4490;15700
2.4234314600059473e-05;2;4590;15800
2.4036078897809498e-05;2;4690;15900
2.3837843195559523e-05;2;4790;16000
2.3639607493309545e-05;2;4890;16100
2.3441371791059573e-05;2;4990;16200
