loss_avg;epoch;iteration;global_iteration
1.148392915725708;0;100;100
0.4329543709754944;0;200;200
0.06510911881923676;0;300;300
0.0074895089492201805;0;400;400
0.25185444951057434;0;500;500
0.043908990919589996;0;600;600
0.16264213621616364;0;700;700
0.07284476608037949;0;800;800
0.34465402364730835;0;900;900
0.0390889048576355;0;1000;1000
0.0034898980520665646;0;1100;1100
0.18945369124412537;0;1200;1200
0.12718424201011658;0;1300;1300
0.18325084447860718;0;1400;1400
0.2312757819890976;0;1500;1500
0.12115147709846497;0;1600;1600
0.03017258457839489;0;1700;1700
0.09589719027280807;0;1800;1800
0.005384089425206184;0;1900;1900
0.08518921583890915;0;2000;2000
0.07483909279108047;0;2100;2100
0.012237170711159706;0;2200;2200
0.05462709069252014;0;2300;2300
0.005235699005424976;0;2400;2400
0.16394054889678955;0;2500;2500
0.09833863377571106;0;2600;2600
0.12987007200717926;0;2700;2700
0.08572416007518768;0;2800;2800
0.24292303621768951;0;2900;2900
0.015121680684387684;0;3000;3000
0.01862652227282524;0;3100;3100
0.0651881992816925;0;3200;3200
0.0005526040331460536;0;3300;3300
0.01719588413834572;0;3400;3400
0.03836436942219734;0;3500;3500
0.007576614618301392;0;3600;3600
0.05103680491447449;0;3700;3700
0.23373889923095703;0;3800;3800
0.08159611374139786;0;3900;3900
0.29949936270713806;0;4000;4000
0.0008805263787508011;0;4100;4100
0.14965274930000305;0;4200;4200
0.1138857752084732;0;4300;4300
0.002833210863173008;0;4400;4400
0.09065388143062592;0;4500;4500
0.023775914683938026;0;4600;4600
0.0630265548825264;0;4700;4700
0.16938096284866333;0;4800;4800
0.06577527523040771;0;4900;4900
0.034623514860868454;0;5000;5000
0.40026208758354187;0;5100;5100
0.08946883678436279;0;5200;5200
0.0781291201710701;0;5300;5300
0.04334944859147072;0;5400;5400
6.86256134940777e-06;0;5500;5500
0.029766861349344254;0;5600;5600
0.05918607488274574;1;95;5700
0.01894475519657135;1;195;5800
0.0005669601378031075;1;295;5900
0.041973814368247986;1;395;6000
0.09581461548805237;1;495;6100
0.03451385721564293;1;595;6200
0.060364462435245514;1;695;6300
0.0010425685904920101;1;795;6400
0.04589603841304779;1;895;6500
0.055082958191633224;1;995;6600
0.0006388679030351341;1;1095;6700
0.15435576438903809;1;1195;6800
0.02324838563799858;1;1295;6900
0.003079610876739025;1;1395;7000
0.09611189365386963;1;1495;7100
0.27559494972229004;1;1595;7200
0.025213446468114853;1;1695;7300
0.008607610128819942;1;1795;7400
0.0018862760625779629;1;1895;7500
0.02412710338830948;1;1995;7600
0.2072891891002655;1;2095;7700
9.2207410489209e-05;1;2195;7800
0.0805744081735611;1;2295;7900
0.027233604341745377;1;2395;8000
0.0011417240602895617;1;2495;8100
0.0006725815474055707;1;2595;8200
0.00013540821964852512;1;2695;8300
0.013607223518192768;1;2795;8400
0.10096544772386551;1;2895;8500
0.0003695008927024901;1;2995;8600
0.08301546424627304;1;3095;8700
0.0856071412563324;1;3195;8800
0.1978522390127182;1;3295;8900
0.02893591672182083;1;3395;9000
0.0864420086145401;1;3495;9100
