loss_avg;epoch;iteration;global_iteration
0.4944075047969818;0;100;100
0.016828017309308052;0;200;200
0.12886658310890198;0;300;300
0.26322081685066223;0;400;400
0.04896371811628342;0;500;500
0.1019771546125412;0;600;600
0.3927995562553406;0;700;700
0.23134544491767883;0;800;800
0.0023402979131788015;0;900;900
0.09369561821222305;0;1000;1000
0.01605355553328991;0;1100;1100
0.04849868267774582;0;1200;1200
0.41807132959365845;0;1300;1300
0.2987300753593445;0;1400;1400
0.040077582001686096;0;1500;1500
0.07813689857721329;0;1600;1600
0.16506555676460266;0;1700;1700
0.17070120573043823;0;1800;1800
0.020194847136735916;0;1900;1900
0.004086763132363558;0;2000;2000
0.054717324674129486;0;2100;2100
0.2230902910232544;0;2200;2200
0.08078054338693619;0;2300;2300
0.005794106516987085;0;2400;2400
0.049941569566726685;0;2500;2500
0.08331762999296188;0;2600;2600
0.14912909269332886;0;2700;2700
0.05393341928720474;0;2800;2800
0.1829744428396225;0;2900;2900
0.013211926445364952;0;3000;3000
0.015876734629273415;0;3100;3100
0.11530400067567825;0;3200;3200
0.024386322125792503;0;3300;3300
0.0024272450245916843;0;3400;3400
0.037730567157268524;0;3500;3500
0.16105544567108154;0;3600;3600
0.25820279121398926;0;3700;3700
0.0561920702457428;0;3800;3800
0.07065366208553314;0;3900;3900
