loss;epoch;iteration;global_iteration
2.163135051727295;0;100;100
0.3017175793647766;0;200;200
0.327787846326828;0;300;300
0.39029431343078613;0;400;400
0.25260865688323975;0;500;500
0.16329844295978546;0;600;600
0.33056068420410156;0;700;700
0.17321130633354187;0;800;800
0.056333061307668686;0;900;900
0.2800598740577698;0;1000;1000
0.14777931571006775;0;1100;1100
0.20924273133277893;0;1200;1200
0.10585707426071167;0;1300;1300
0.04223122447729111;0;1400;1400
0.03807380795478821;0;1500;1500
0.11178657412528992;0;1600;1600
0.11978337168693542;0;1700;1700
0.055660054087638855;0;1800;1800
0.02332165278494358;0;1900;1900
0.029280101880431175;0;2000;2000
0.1671748161315918;0;2100;2100
0.005040396004915237;0;2200;2200
0.0831088051199913;0;2300;2300
0.30427274107933044;0;2400;2400
0.13941127061843872;0;2500;2500
0.0003540162288118154;0;2600;2600
0.07987893372774124;0;2700;2700
0.07420864701271057;0;2800;2800
0.026772966608405113;0;2900;2900
0.12793123722076416;0;3000;3000
0.011186053045094013;0;3100;3100
0.1925399750471115;0;3200;3200
0.10519704222679138;0;3300;3300
0.1590762436389923;0;3400;3400
0.012212470173835754;0;3500;3500
0.15470515191555023;0;3600;3600
0.11876623332500458;0;3700;3700
0.18549823760986328;0;3800;3800
0.1186135858297348;0;3900;3900
0.01401466503739357;0;4000;4000
0.00957031361758709;0;4100;4100
0.03437117487192154;0;4200;4200
0.002622610656544566;0;4300;4300
0.004947238601744175;0;4400;4400
0.02953176759183407;0;4500;4500
0.0435045063495636;0;4600;4600
0.1414915919303894;0;4700;4700
0.054541684687137604;0;4800;4800
0.0854443684220314;1;75;4900
0.003774994285777211;1;175;5000
0.014610092155635357;1;275;5100
0.020783087238669395;1;375;5200
0.3324500620365143;1;475;5300
0.053096793591976166;1;575;5400
0.017566416412591934;1;675;5500
0.003838105360046029;1;775;5600
0.07834507524967194;1;875;5700
0.05623029172420502;1;975;5800
0.09496542811393738;1;1075;5900
0.10486456751823425;1;1175;6000
0.023811159655451775;1;1275;6100
0.014376075938344002;1;1375;6200
0.03027775138616562;1;1475;6300
0.0790366679430008;1;1575;6400
0.0019215153297409415;1;1675;6500
0.0023649842478334904;1;1775;6600
0.01838740147650242;1;1875;6700
0.03489162400364876;1;1975;6800
0.005104304291307926;1;2075;6900
0.008083980530500412;1;2175;7000
0.004830210469663143;1;2275;7100
0.05536656081676483;1;2375;7200
0.02226543426513672;1;2475;7300
0.16586428880691528;1;2575;7400
0.005354720633476973;1;2675;7500
0.09279659390449524;1;2775;7600
0.21586628258228302;1;2875;7700
0.0030768373981118202;1;2975;7800
0.06431132555007935;1;3075;7900
0.09635289013385773;1;3175;8000
0.021881980821490288;1;3275;8100
0.0006250821752473712;1;3375;8200
0.006655250675976276;1;3475;8300
0.11941689997911453;1;3575;8400
0.005190374329686165;1;3675;8500
0.08736564218997955;1;3775;8600
0.01597108319401741;1;3875;8700
0.07356273382902145;1;3975;8800
0.004278348293155432;1;4075;8900
0.024410873651504517;1;4175;9000
0.004533901810646057;1;4275;9100
0.020802447572350502;1;4375;9200
0.07950402051210403;1;4475;9300
0.07838724553585052;1;4575;9400
0.20637147128582;1;4675;9500
0.028899090364575386;1;4775;9600
0.004421018064022064;2;50;9700
0.0022027920931577682;2;150;9800
0.003000264521688223;2;250;9900
0.00345215224660933;2;350;10000
0.020957890897989273;2;450;10100
0.042586807161569595;2;550;10200
0.025034470483660698;2;650;10300
0.002526789903640747;2;750;10400
0.019942721351981163;2;850;10500
0.0005955890519544482;2;950;10600
0.016852276399731636;2;1050;10700
0.05378581956028938;2;1150;10800
0.007774412631988525;2;1250;10900
0.026077140122652054;2;1350;11000
0.02277459017932415;2;1450;11100
0.0036878762766718864;2;1550;11200
0.0014296837616711855;2;1650;11300
0.0038519753143191338;2;1750;11400
0.03159816935658455;2;1850;11500
0.11863803118467331;2;1950;11600
0.09548579156398773;2;2050;11700
0.0008725369116291404;2;2150;11800
0.06044464930891991;2;2250;11900
0.00038184470031410456;2;2350;12000
0.02065187506377697;2;2450;12100
0.00227929325774312;2;2550;12200
0.0027428932953625917;2;2650;12300
0.03423856943845749;2;2750;12400
0.05000331997871399;2;2850;12500
0.07785052061080933;2;2950;12600
0.010223083198070526;2;3050;12700
0.008809846825897694;2;3150;12800
0.035324279218912125;2;3250;12900
0.0023426159750670195;2;3350;13000
0.014734316617250443;2;3450;13100
0.0014777405885979533;2;3550;13200
0.08556940406560898;2;3650;13300
0.00201738765463233;2;3750;13400
0.002810816280543804;2;3850;13500
0.006882248912006617;2;3950;13600
0.002424414735287428;2;4050;13700
0.029271988198161125;2;4150;13800
0.009368102997541428;2;4250;13900
0.01007892470806837;2;4350;14000
0.014732902869582176;2;4450;14100
0.0007961244555190206;2;4550;14200
0.003075777320191264;2;4650;14300
0.007367816288024187;2;4750;14400
0.0006445751059800386;3;25;14500
0.0010734953684732318;3;125;14600
0.005934832617640495;3;225;14700
0.010472132824361324;3;325;14800
0.013776533305644989;3;425;14900
0.005237681791186333;3;525;15000
0.01631711795926094;3;625;15100
0.02062213234603405;3;725;15200
0.0008649637456983328;3;825;15300
6.039909976607305e-07;3;925;15400
0.004611163400113583;3;1025;15500
0.033118635416030884;3;1125;15600
0.001470176037400961;3;1225;15700
0.0027914349921047688;3;1325;15800
0.006788681261241436;3;1425;15900
0.0015720597002655268;3;1525;16000
0.0017092032358050346;3;1625;16100
0.03922537714242935;3;1725;16200
0.0056809852831065655;3;1825;16300
0.0023401291109621525;3;1925;16400
0.0077208830043673515;3;2025;16500
0.0008260004105977714;3;2125;16600
0.0018687867559492588;3;2225;16700
0.04386705532670021;3;2325;16800
0.07374473661184311;3;2425;16900
0.0005599235882982612;3;2525;17000
0.014559471048414707;3;2625;17100
0.00048139950376935303;3;2725;17200
0.0019218871602788568;3;2825;17300
0.0036307359114289284;3;2925;17400
0.04090694338083267;3;3025;17500
0.03081044740974903;3;3125;17600
0.0650053322315216;3;3225;17700
0.0027467459440231323;3;3325;17800
0.021995041519403458;3;3425;17900
0.03248671814799309;3;3525;18000
0.013299988582730293;3;3625;18100
0.06340789049863815;3;3725;18200
0.02346225641667843;3;3825;18300
0.04745551571249962;3;3925;18400
0.003354043699800968;3;4025;18500
0.014357334934175014;3;4125;18600
0.004279415588825941;3;4225;18700
